Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Occupant #
0,0,0,45,240,10
0,0,0,48,180,10
0,0,0,0,240,10
0,0,0,0,240,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,0,240,10
0,0,0,45,180,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,50,240,10
0,0,0,0,180,10
0,0,0,50,180,10
0,240,0,0,240,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,45,0,240,10
0,0,0,0,180,10
0,0,0,39,180,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,0,240,10
0,0,0,0,240,10
0,300,45,0,300,11
0,175,0,0,180,11
0,74,43,56,180,11
0,169,0,0,180,11
0,300,37,22,300,11
0,180,0,57,240,11
0,152,36,0,300,11
0,0,22,0,180,11
0,0,13,0,240,11
0,180,26,0,180,11
0,32,0,0,240,11
0,240,10,0,240,11
0,180,0,0,180,11
0,300,57,0,300,11
0,138,0,0,240,11
0,180,0,59,180,11
0,145,10,0,240,11
0,180,0,0,240,11
0,0,35,0,180,11
0,282,45,0,300,11
0,180,15,30,180,11
0,240,48,20,240,11
0,0,33,0,240,11
0,179,10,0,180,11
0,300,32,0,300,11
0,300,13,0,300,11
0,180,0,0,180,11
0,111,36,0,180,11
0,272,8,24,300,11
0,0,54,0,180,11
0,180,43,50,240,11
0,180,1,0,180,11
0,300,0,0,300,11
0,180,0,0,180,11
0,180,0,0,180,11
0,262,0,0,300,11
0,25,44,0,180,11
0,240,0,0,240,11
0,180,9,0,180,11
0,240,7,0,240,11
0,180,0,0,180,11
0,171,30,0,240,11
0,240,0,0,240,11
0,163,0,0,240,11
0,300,0,0,300,11
0,33,52,0,240,11
0,300,0,0,300,11
0,148,10,0,240,11
0,240,36,0,240,11
0,107,49,0,180,11
0,132,0,0,240,11
0,209,32,0,240,11
0,180,0,0,180,11
0,218,80,0,240,11
0,210,8,0,240,11
0,103,24,0,240,11
0,180,0,0,240,11
0,240,56,0,240,11
0,60,0,0,180,11
0,152,0,0,240,11
0,96,54,0,240,11
0,240,33,0,240,11
0,60,55,0,180,11
0,240,0,0,240,11
0,240,35,0,240,11
0,300,16,0,300,11
0,300,0,52,300,11
0,300,0,0,300,11
0,240,19,0,240,11
0,300,33,45,300,11
0,98,0,48,240,11
0,240,17,0,240,11
0,208,9,0,240,11
0,180,0,0,240,11
0,180,47,0,240,11
0,263,57,0,300,11
0,0,31,0,240,11
0,65,0,45,180,11
0,203,35,0,240,11
0,300,27,0,300,11
0,300,43,0,300,11
0,300,12,0,300,11
0,240,0,0,240,11
0,240,0,50,240,11
0,0,56,0,240,11
0,180,3,50,240,11
0,214,0,0,240,11
0,37,41,0,180,11
0,180,0,0,180,11
0,256,45,0,300,11
0,199,0,0,240,11
0,180,18,39,240,11
0,180,16,0,240,11
0,97,19,0,240,11
0,240,0,0,240,11
0,175,0,0,180,11
0,0,45,0,240,11
0,240,0,0,240,11
0,240,7,0,240,11
0,159,0,0,180,11
