Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Cool Duration [mins],Warm Duration [mins],Occupant #
0,0,0,0,240,0,0,6
0,0,7,0,180,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,0,0,6
0,0,55,0,180,1,0,6
0,0,0,0,180,0,0,6
0,0,5,0,180,0,0,6
0,0,0,0,240,1,0,6
0,0,0,0,240,0,0,6
0,0,0,0,240,2,0,6
0,0,0,0,180,1,0,6
0,0,0,0,180,0,0,6
0,0,0,59,180,1,0,6
0,0,0,0,240,1,0,6
0,0,0,0,240,0,0,6
0,0,0,0,180,0,0,6
0,0,0,57,180,0,0,6
0,0,0,0,180,1,0,6
0,0,0,0,180,0,0,6
0,0,0,39,240,1,0,6
0,0,0,31,180,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,0,0,6
0,0,7,0,240,1,0,6
0,0,0,0,240,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,180,0,0,6
0,0,31,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,42,180,1,0,6
0,0,22,0,240,1,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,1,0,6
0,0,0,0,180,0,0,6
0,0,0,20,240,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,180,0,0,6
0,180,0,0,180,4,0,7
0,240,16,0,240,15,0,7
0,240,0,0,240,14,0,7
0,240,16,0,240,15,0,7
0,240,0,0,240,14,0,7
0,180,0,56,180,9,0,7
0,213,14,0,240,11,0,7
0,180,53,0,180,7,0,7
0,240,0,57,240,7,0,7
0,240,16,0,240,15,0,7
0,240,0,0,240,14,0,7
0,180,0,56,180,9,0,7
0,213,14,0,240,11,0,7
0,180,53,0,180,7,0,7
0,240,0,57,240,7,0,7
0,180,28,0,180,9,0,7
0,176,0,0,180,9,0,7
0,240,0,0,240,12,0,7
0,176,44,0,180,8,0,7
0,180,0,0,180,13,0,7
0,180,0,0,180,5,0,7
0,180,55,0,180,6,0,7
0,240,52,0,240,7,0,7
0,180,0,0,180,9,0,7
0,180,0,59,180,2,0,7
0,220,40,0,240,13,0,7
0,180,50,0,180,9,0,7
0,182,0,0,240,6,0,7
0,180,0,0,180,9,0,7
0,240,0,30,240,7,0,7
0,180,0,9,180,3,0,7
0,180,33,0,180,6,0,7
0,240,14,0,240,8,0,7
0,180,48,0,180,9,0,7
0,180,0,0,180,9,0,7
0,180,0,0,180,10,0,7
0,180,39,0,180,5,0,7
0,180,0,21,180,1,0,7
0,180,20,0,180,9,0,7
0,180,20,0,180,8,0,7
0,180,0,0,180,5,0,7
0,180,0,0,180,8,0,7
0,180,24,0,180,5,0,7
0,180,56,0,180,10,0,7
0,240,0,0,240,9,0,7
0,180,35,0,180,5,0,7
0,180,15,0,180,7,0,7
0,278,15,0,300,13,0,7
0,240,7,0,240,10,0,7
0,180,0,0,180,1,0,7
0,149,0,0,180,6,0,7
0,180,15,0,180,8,0,7
0,180,36,0,180,5,0,7
0,180,57,0,180,6,0,7
0,180,0,0,180,5,0,7
0,170,5,0,180,11,0,7
0,180,0,0,180,2,0,7
0,240,59,0,240,11,0,7
